category,category_id,subcategory,subcategory_id,amount,year
議会費,1,議会費,1-1,364934000,2013
総務費,2,総務管理費,2-1,3401476000,2013
総務費,2,徴税費,2-2,542458000,2013
総務費,2,戸籍住民基本台帳費,2-3,319089000,2013
総務費,2,選挙費,2-4,119128000,2013
総務費,2,統計調査費,2-5,32858000,2013
総務費,2,監査委員費,2-6,37086000,2013
民生費,3,社会福祉費,3-1,6049638000,2013
民生費,3,児童福祉費,3-2,5179187000,2013
民生費,3,生活保護費,3-3,2620531000,2013
民生費,3,災害救助費,3-4,63913000,2013
衛生費,4,保健衛生費,4-1,1736945000,2013
衛生費,4,清掃費,4-2,2695705000,2013
衛生費,4,上水道費,4-3,33469000,2013
労働費,5,労働諸費,5-1,1094000,2013
農林水産業費,6,農業費,6-1,344546000,2013
農林水産業費,6,林業費,6-2,13495000,2013
農林水産業費,6,水産業費,6-3,123414000,2013
商工費,7,商工費,7-1,516336000,2013
土木費,8,土木管理費,8-1,300891000,2013
土木費,8,道路橋りょう費,8-2,838186000,2013
土木費,8,河川費,8-3,69660000,2013
土木費,8,港湾費,8-4,14129000,2013
土木費,8,都市計画費,8-5,2548282000,2013
土木費,8,住宅費,8-6,75940000,2013
消防費,9,消防費,9-1,1573769000,2013
教育費,10,教育総務費,10-1,373857000,2013
教育費,10,小学校費,10-2,556092000,2013
教育費,10,中学校費,10-3,325920000,2013
教育費,10,幼稚園費,10-4,173081000,2013
教育費,10,社会教育費,10-5,748928000,2013
教育費,10,保健体育費,10-6,1375880000,2013
災害復旧費,11,公共土木施設災害復旧費,11-1,1600000,2013
公債費,12,公債費,12-1,2798483000,2013
予備費,13,予備費,13-1,100000000,2013
